Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-5qWnoQBG8QUu1cQzzZr8Te3VnixhSdh,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-5qWnoQBG8QUu1cQzzZr8Te3VnixhSdh/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4264121,-49.2735039
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-7t5zy2eDcs08eqRvFbxMTSAxLapP54I,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-7t5zy2eDcs08eqRvFbxMTSAxLapP54I/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4263948,-49.2734985
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-8QPruoZrmfLBdJAbMF_jQWIxFvt7Jrs,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-8QPruoZrmfLBdJAbMF_jQWIxFvt7Jrs/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4264116,-49.2736876
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-9uPC0oV1YnC6s_Arzg-mhFinkTXR5s1,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-9uPC0oV1YnC6s_Arzg-mhFinkTXR5s1/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426321400000003,-49.2738462
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-BUS63YFdxhvt0jOPDT7a0oShgqcAnYa,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-BUS63YFdxhvt0jOPDT7a0oShgqcAnYa/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.425405400000002,-49.2738538
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-F_pu2p4meHBYxsRFbfuuRo5tL0zkAV3,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-F_pu2p4meHBYxsRFbfuuRo5tL0zkAV3/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4256223,-49.2727853
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-O0eWzNj6i6khEuPHbQGFUy32SnvHUQX,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-O0eWzNj6i6khEuPHbQGFUy32SnvHUQX/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4256219,-49.2727943
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-ie4MoIT0fYoJAn71g1WgEQp5gLvTmFt,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-ie4MoIT0fYoJAn71g1WgEQp5gLvTmFt/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4256141,-49.2727801
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-iwn_SdpOn_jRaj725bt3E-28A1x58-h,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-iwn_SdpOn_jRaj725bt3E-28A1x58-h/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.425629,-49.2726129
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-mAMuGI-6uH732wluW_OvPamff7wTAiN,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-mAMuGI-6uH732wluW_OvPamff7wTAiN/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4258321,-49.271493299999996
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-p7QGI5OVpxYJsnEtx6GwsGGKyrnrmIc,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-p7QGI5OVpxYJsnEtx6GwsGGKyrnrmIc/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4257865,-49.2718775
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=1-zc4-VasMwdBbI0xQKzvMpwmqrR7BGHI,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/1-zc4-VasMwdBbI0xQKzvMpwmqrR7BGHI/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.425751400000003,-49.2722099
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=108nwLCmwLN6ZnB2gta9SJed-v8nLWsB5,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/108nwLCmwLN6ZnB2gta9SJed-v8nLWsB5/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.425709400000002,-49.2722602
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10BsrmUo4pc7dGqLMG45zK3rA_f-XHHDJ,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10BsrmUo4pc7dGqLMG45zK3rA_f-XHHDJ/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426271800000002,-49.2716072
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10CFU5LPa5dTmfnftuCh8MQwoy14RJZAR,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10CFU5LPa5dTmfnftuCh8MQwoy14RJZAR/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426340800000002,-49.2716286
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10EGBNop1aRn9gvoYnA9K7wSDzwsbZd1e,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10EGBNop1aRn9gvoYnA9K7wSDzwsbZd1e/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4264917,-49.2717847
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10NU2QHdUzWNDXdq1VDIBy8B99cxjNAZN,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10NU2QHdUzWNDXdq1VDIBy8B99cxjNAZN/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426656,-49.2718261
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10OF3hj_KgVYFiWk-vJazJfTeDrKRtve3,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10OF3hj_KgVYFiWk-vJazJfTeDrKRtve3/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426854000000002,-49.2717765
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10UE1nKk5L3fE7py-aXOta95XprNheKxn,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10UE1nKk5L3fE7py-aXOta95XprNheKxn/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426819700000003,-49.2717911
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10WY9LiP_5j9aBOIE0oSmxpO79XmTpmws,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10WY9LiP_5j9aBOIE0oSmxpO79XmTpmws/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4268572,-49.271789399999996
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10iEnFYg3XQvnwbHbGy0yMq_v2q49kGWW,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10iEnFYg3XQvnwbHbGy0yMq_v2q49kGWW/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4269204,-49.271829499999996
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10iYL3RGuEAWcFKf3ikZs1mAlxQ-RQzao,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10iYL3RGuEAWcFKf3ikZs1mAlxQ-RQzao/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.426973800000003,-49.2718447
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10llMXcGn8WrlCtz7W0XAT07WLHrU6syM,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10llMXcGn8WrlCtz7W0XAT07WLHrU6syM/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427087200000003,-49.2717923
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10oM3UMCzJYbApHLS8ClpixPW8Mqu8eEc,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10oM3UMCzJYbApHLS8ClpixPW8Mqu8eEc/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427101500000003,-49.2718214
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=10v9nB43IekgLlAYCapia8mQAGCnl76gv,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/10v9nB43IekgLlAYCapia8mQAGCnl76gv/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4276991,-49.271927399999996
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=116gKi9QoPqMIZ0VkrEFPjBv63dt15blG,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/116gKi9QoPqMIZ0VkrEFPjBv63dt15blG/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427130000000002,-49.2718529
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11B8RGTDXy6qxIMuv2ibkGuvPkufioOtr,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11B8RGTDXy6qxIMuv2ibkGuvPkufioOtr/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4276528,-49.2719259
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11CuyPL9c6vcuobSHXFEBHJNiledwCRkJ,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11CuyPL9c6vcuobSHXFEBHJNiledwCRkJ/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427954200000002,-49.2710109
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11FfRcVBjYjrIdlIovOEV2vD9HCqTr7o1,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11FfRcVBjYjrIdlIovOEV2vD9HCqTr7o1/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.429151400000002,-49.2700984
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11KuC0TFBZgVzl0BJatoAQcZzDVua3eWv,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11KuC0TFBZgVzl0BJatoAQcZzDVua3eWv/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4278838,-49.2709531
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11MOItVeRln1u5vmvuHx9-KL3vjO7_r4h,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11MOItVeRln1u5vmvuHx9-KL3vjO7_r4h/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.429153,-49.2700916
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11OShTFFNbpQsWyoOiIM8Rs43tZw33XEc,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11OShTFFNbpQsWyoOiIM8Rs43tZw33XEc/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4293532,-49.2699057
